ID,TIPO_DROGA,UNIDADE_MEDIDA,QTDE_DROGA,QUALIFICACAO,AMBIENTE,DATA_HORA_FATO,ANO_FATO,MES_FATO,MES_FATO_TEXTO,DIA_FATO,DIA_SEMANA_FATO,HORA_FATO,TURNO,CIDADE_FATO,BAIRRO_FATO,ENDERECO_FATO,PT_REF_FATO,RISP,AISP,LONGITUDE,LATITUDE
37471,COCAINA,GRAMA,18,TRÁFICO,,04/01/2022 15:02:00,2022,1,Jan,4,Ter,15,Tarde,Barra de Santo Antônio,Zona Rural,FAZENDA NOSSA SENHORA DE LURDES,,1ª RISP,11ª AISP,"-35,522963","-9,418954"
37477,MACONHA,GRAMA,60,TRÁFICO,,04/01/2022 16:00:00,2022,1,Jan,4,Ter,16,Tarde,Maceió,Chã de Bebedouro,"RUA IPIRANGA,GROTA DO BURACO",SEM INFORMAÇÃO,1ª RISP,04ª AISP,"-35,757264","-9,619274"
37483,COCAINA,GRAMA,170,TRÁFICO,,04/01/2022 17:00:00,2022,1,Jan,4,Ter,17,Tarde,Maceió,Benedito Bentes,RUA PRINCIPAL DO CONJ. CIDADE SORRISO I,SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,717707","-9,568279"
37479,COCAINA,GRAMA,170,TRÁFICO,,04/01/2022 17:00:00,2022,1,Jan,4,Ter,17,Tarde,Maceió,Benedito Bentes,RUA PRINCIPAL DO CONJ. CIDADE SORRISO I,SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,717707","-9,568279"
37485,MACONHA,GRAMA,71,TRÁFICO,,04/01/2022 18:00:00,2022,1,Jan,4,Ter,18,Noite,Maceió,Levada,BREJAL-PROXIMO AO BECO DO PACOTE,SEM INFORMAÇÃO,1ª RISP,02ª AISP,"-35,745419","-9,655614"
37487,MACONHA,GRAMA,520,TRÁFICO,,04/01/2022 22:48:00,2022,1,Jan,4,Ter,22,Noite,Capela,Centro,RUA DOUTOR HORACIO G DE MELO,,2ª RISP,13ª AISP,"-36,075812","-9,413254"
37489,MACONHA,GRAMA,2,POSSE/USO,,05/01/2022 10:00:00,2022,1,Jan,5,Qua,10,Manhã,Arapiraca,Olho d Água dos Cazuzinhos,RUA VIRGINIA BARBOSA LEÃO,SEM INFORMAÇÃO,3ª RISP,16ª AISP,"-36,672189","-9,769033"
37491,MACONHA,GRAMA,14,POSSE/USO,,05/01/2022 11:00:00,2022,1,Jan,5,Qua,11,Manhã,Água Branca,Centro,RUA BARÃO DE ÁGUA BRANCA-PROXIMO A CASA DO BARÃO,PROXIMIDADES DA IGREJINHA,4ª RISP,24ª AISP,"-37,935129","-9,259264"
37493,COCAINA,GRAMA,35,TRÁFICO,,05/01/2022 15:00:00,2022,1,Jan,5,Qua,15,Tarde,Maceió,Rio Novo,"RUA DO ESPORTE, 232-PRÓXIMO AO BECO DA IGREJA ADVENTISTA.",PERTO DA ASSEMBLEIA DE DEUS,1ª RISP,04ª AISP,"-35,812505","-9,573528"
37497,CRACK,GRAMA,1,,,05/01/2022 18:31:00,2022,1,Jan,5,Qua,18,Noite,Porto Calvo,Centro,CONJ. OSCAR CUNHA,NA BEIRA DO RIO DO POVOADO OSCAR CUNHA,2ª RISP,15ª AISP,"-35,422322","-9,052381"
37495,MACONHA,GRAMA,1,POSSE/USO,,05/01/2022 18:31:00,2022,1,Jan,5,Qua,18,Noite,Porto Calvo,Centro,CONJ. OSCAR CUNHA,NA BEIRA DO RIO DO POVOADO OSCAR CUNHA,2ª RISP,15ª AISP,"-35,422322","-9,052381"
37503,MACONHA,GRAMA,1324,TRÁFICO,,06/01/2022 09:50:00,2022,1,Jan,6,Qui,9,Manhã,Arapiraca,Manoel Teles,RUA BOM CONSELHO,PRÓXIMO AO PÉ DA LADEIRA,3ª RISP,16ª AISP,"-36,668429","-9,75419"
37505,CRACK,GRAMA,16,,,06/01/2022 09:50:00,2022,1,Jan,6,Qui,9,Manhã,Arapiraca,Manoel Teles,RUA BOM CONSELHO,PRÓXIMO AO PÉ DA LADEIRA,3ª RISP,16ª AISP,"-36,668429","-9,75419"
37527,MACONHA,GRAMA,10,TRÁFICO,,06/01/2022 12:00:00,2022,1,Jan,6,Qui,12,Tarde,Maceió,Cidade Universitária,SISTEMA PENITENCIÁRIO ALAGOANO,SEM INFORMAÇÃO,1ª RISP,07ª AISP,"-35,778928","-9,549834"
37507,MACONHA,GRAMA,50,POSSE/USO,,06/01/2022 14:00:00,2022,1,Jan,6,Qui,14,Tarde,Maragogi,Centro,BARRA GRANDE - RUA DA POUSADA COSTEIRA DA BARRA,SEM INFORMAÇÃO,2ª RISP,15ª AISP,"-35,191137","-8,982261"
37509,MACONHA,GRAMA,650,TRÁFICO,,06/01/2022 19:00:00,2022,1,Jan,6,Qui,19,Noite,Maceió,Ponta Grossa,RUA CABO REIS-VIZINHO AO VAL  PNEUS E SERVIÇOS,VIZINHO AO VAL  PNEUS E SERVIÇOS,1ª RISP,02ª AISP,"-35,755728","-9,660239"
37511,COCAINA,GRAMA,1,POSSE/USO,,07/01/2022 02:00:00,2022,1,Jan,7,Sex,2,Madrugada,Arapiraca,Manoel Teles,PRAÇA PEREIRA MAGALHÃES,SEM INFORMAÇÃO,3ª RISP,16ª AISP,"-36,665541","-9,757226"
37525,MACONHA,GRAMA,70,TRÁFICO,,07/01/2022 05:00:00,2022,1,Jan,7,Sex,5,Madrugada,Atalaia,Centro,ALTO DO JOÃO MIRANDA,SEM INFORMAÇÃO,2ª RISP,13ª AISP,"-36,006086","-9,513704"
37515,CRACK,GRAMA,4,,,07/01/2022 10:00:00,2022,1,Jan,7,Sex,10,Manhã,Palmeira dos Índios,Zona Rural,ALAGADINHO - RUA PROJETADA,SEM INFORMAÇÃO,3ª RISP,18ª AISP,"-36,64562","-9,375199"
37513,MACONHA,GRAMA,2,POSSE/USO,,07/01/2022 10:00:00,2022,1,Jan,7,Sex,10,Manhã,Palmeira dos Índios,Zona Rural,ALAGADINHO - RUA PROJETADA,SEM INFORMAÇÃO,3ª RISP,18ª AISP,"-36,644989","-9,376684"
37519,MACONHA,GRAMA,120,TRÁFICO,,07/01/2022 17:25:00,2022,1,Jan,7,Sex,17,Tarde,Arapiraca,Brasília,RUA VEREADOR ANTÔNIO JUVINO,UM BECO DE AZULEJO NA FRENTE,3ª RISP,17ª AISP,"-36,64725","-9,757109"
37523,COCAINA,GRAMA,35,,,07/01/2022 17:25:00,2022,1,Jan,7,Sex,17,Tarde,Arapiraca,Brasília,RUA VEREADOR ANTÔNIO JUVINO,UM BECO DE AZULEJO NA FRENTE,3ª RISP,17ª AISP,"-36,64725","-9,757109"
37521,CRACK,GRAMA,25,,,07/01/2022 17:25:00,2022,1,Jan,7,Sex,17,Tarde,Arapiraca,Brasília,RUA VEREADOR ANTÔNIO JUVINO,UM BECO DE AZULEJO NA FRENTE,3ª RISP,17ª AISP,"-36,64725","-9,757109"
37533,CRACK,GRAMA,1,TRÁFICO,,08/01/2022 11:00:00,2022,1,Jan,8,Sáb,11,Manhã,Arapiraca,Senador Teotônio Vilela,"RUA DELMIRO GOUVEIA-BOSQUE DAS ARAPIRACAS-EM UMA LANCHONETE, EM FRENTE A ESCOLA DE CIRCO",SEM INFORMAÇÃO,3ª RISP,17ª AISP,"-36,659235","-9,743716"
37531,MACONHA,GRAMA,1500,TRÁFICO,,08/01/2022 11:00:00,2022,1,Jan,8,Sáb,11,Manhã,Arapiraca,Senador Teotônio Vilela,"RUA DELMIRO GOUVEIA-BOSQUE DAS ARAPIRACAS-EM UMA LANCHONETE, EM FRENTE A ESCOLA DE CIRCO",SEM INFORMAÇÃO,3ª RISP,17ª AISP,"-36,659235","-9,743716"
37537,CRACK,GRAMA,11,TRÁFICO,,08/01/2022 11:00:00,2022,1,Jan,8,Sáb,11,Manhã,Maceió,Levada,BECO DO CARVÃO-TERMINAL DO MERCADO,VILA DO CARVÃO,1ª RISP,02ª AISP,"-35,744598","-9,659725"
37535,MACONHA,GRAMA,60,TRÁFICO,,08/01/2022 11:00:00,2022,1,Jan,8,Sáb,11,Manhã,Maceió,Levada,BECO DO CARVÃO-TERMINAL DO MERCADO,VILA DO CARVÃO,1ª RISP,02ª AISP,"-35,744598","-9,659725"
37529,COCAINA,GRAMA,30,TRÁFICO,,08/01/2022 11:00:00,2022,1,Jan,8,Sáb,11,Manhã,Arapiraca,Senador Teotônio Vilela,"RUA DELMIRO GOUVEIA-BOSQUE DAS ARAPIRACAS-EM UMA LANCHONETE, EM FRENTE A ESCOLA DE CIRCO",SEM INFORMAÇÃO,3ª RISP,17ª AISP,"-36,659235","-9,743716"
37541,LANÇA PERFUME,MILILITRO,300,TRÁFICO,,08/01/2022 22:00:00,2022,1,Jan,8,Sáb,22,Noite,Maceió,Benedito Bentes,"CONJUNTO FREI DAMIÃO	-RUA C-, 75- APÓS A IGREJA BOM BOSCO",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,713467","-9,561404"
37539,MACONHA,GRAMA,4500,TRÁFICO,,08/01/2022 22:00:00,2022,1,Jan,8,Sáb,22,Noite,Maceió,Benedito Bentes,"CONJUNTO FREI DAMIÃO	-RUA C-, 75- APÓS A IGREJA BOM BOSCO",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,713467","-9,561404"
37543,MACONHA,GRAMA,890,TRÁFICO,,08/01/2022 23:00:00,2022,1,Jan,8,Sáb,23,Noite,Rio Largo,Tabuleiro do Pinto,"POSTO FORENE, BR 104-PROXIMO AO NOVO BRASIL",SEM INFORMAÇÃO,1ª RISP,09ª AISP,"-35,794597","-9,534044"
37545,MACONHA,GRAMA,500,TRÁFICO,,09/01/2022 11:00:00,2022,1,Jan,9,Dom,11,Manhã,Maceió,Benedito Bentes,PRAÇA PADRE CÍCERO-AO LADO DO TERMINAL DO ÔNIBUS-PROXÍMO A FÁBRICA DE GELO.,AO LADO DO TERMINAL DO ÔNIBUS,1ª RISP,06ª AISP,"-35,726636","-9,549842"
37547,MACONHA,GRAMA,500,TRÁFICO,,09/01/2022 17:00:00,2022,1,Jan,9,Dom,17,Tarde,São José da Laje,Centro,RUA BEIRA RIO-POR TRÁS DA IGREJA CATÓLICA,SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-36,05758","-9,01175"
37563,CRACK,GRAMA,10,TRÁFICO,,09/01/2022 22:00:00,2022,1,Jan,9,Dom,22,Noite,Atalaia,Zona Rural,POVOADO OLHOS D'AGUA,SEM INFORMAÇÃO,2ª RISP,13ª AISP,"-36,006935","-9,480297"
37565,MACONHA,GRAMA,20,TRÁFICO,,09/01/2022 22:00:00,2022,1,Jan,9,Dom,22,Noite,Atalaia,Zona Rural,POVOADO OLHOS D'AGUA,SEM INFORMAÇÃO,2ª RISP,13ª AISP,"-36,006935","-9,480297"
37675,MACONHA,GRAMA,540,TRÁFICO,,10/01/2022 00:00:00,2022,1,Jan,10,Seg,0,Madrugada,Maceió,Benedito Bentes,AV. A-PRÓXIMO À BORRACHARIA DO 'NENO'. EM FRENTE À ESCOLA ESTADUAL 'DR FRANCISCO DE MELO'.,MERCADINHO DO TIAGO,1ª RISP,06ª AISP,"-35,740448","-9,544113"
37555,MACONHA,GRAMA,1350,TRÁFICO,,10/01/2022 18:00:00,2022,1,Jan,10,Seg,18,Noite,Maceió,Chã de Bebedouro,GROTA DA MACAXEIRA-PRÓXIMO A RUA DO ARAME,SEM INFORMAÇÃO,1ª RISP,04ª AISP,"-35,758075","-9,61959"
37553,CRACK,GRAMA,3,TRÁFICO,,10/01/2022 18:00:00,2022,1,Jan,10,Seg,18,Noite,Maceió,Chã de Bebedouro,GROTA DA MACAXEIRA-PRÓXIMO A RUA DO ARAME,SEM INFORMAÇÃO,1ª RISP,04ª AISP,"-35,758075","-9,61959"
37561,MACONHA,GRAMA,550,TRÁFICO,,10/01/2022 22:00:00,2022,1,Jan,10,Seg,22,Noite,Maceió,Cidade Universitária,AVENIDA MENINO MARCELO-EM FRENTE AO SHOPPING PATIO MACEIÓ.,SHOPPING,1ª RISP,07ª AISP,"-35,746655","-9,560157"
37567,MACONHA,GRAMA,60,TRÁFICO,,11/01/2022 09:00:00,2022,1,Jan,11,Ter,9,Manhã,Atalaia,Zona Rural,DISTRITO BRANCA DE ATALAIA-RODOVIA BR 316,SEM INFORMAÇÃO,2ª RISP,13ª AISP,"-36,095142","-9,504718"
37571,MACONHA,GRAMA,246,TRÁFICO,,11/01/2022 14:00:00,2022,1,Jan,11,Ter,14,Tarde,Penedo,Centro,RUA DR. JOSÉ LINS-BECO DO TAMANDUÁ,SEM INFORMAÇÃO,3ª RISP,19ª AISP,"-36,584013","-10,288939"
37569,COCAINA,GRAMA,103,TRÁFICO,,11/01/2022 14:00:00,2022,1,Jan,11,Ter,14,Tarde,Penedo,Zona Rural,RUA DR. JOSÉ LINS-BECO DO TAMANDUÁ,SEM INFORMAÇÃO,3ª RISP,19ª AISP,"-36,584013","-10,288939"
37603,COCAINA,GRAMA,4,TRÁFICO,,11/01/2022 20:00:00,2022,1,Jan,11,Ter,20,Noite,São Luís do Quitunde,Centro,RUA VEREADOR JOSÉ GEORGE DO NASCIMENTO-RUA DA AMENDOEIRA,EM FRENTE A CASA DO ACUSADO,2ª RISP,15ª AISP,"-35,565264","-9,314286"
37601,MACONHA,GRAMA,28,TRÁFICO,,11/01/2022 20:00:00,2022,1,Jan,11,Ter,20,Noite,São Luís do Quitunde,Centro,RUA VEREADOR JOSÉ GEORGE DO NASCIMENTO-RUA DA AMENDOEIRA,EM FRENTE A CASA DO ACUSADO,2ª RISP,15ª AISP,"-35,565264","-9,314286"
37577,MACONHA,GRAMA,10,POSSE/USO,,12/01/2022 09:00:00,2022,1,Jan,12,Qua,9,Manhã,Delmiro Gouveia,Centro,AVENIDA MANOEL RIBEIRO,SEDE GUARDA MUNICIPAL,4ª RISP,24ª AISP,"-37,995612","-9,374202"
37579,MACONHA,GRAMA,30,POSSE/USO,,12/01/2022 10:00:00,2022,1,Jan,12,Qua,10,Manhã,Maceió,Petrópolis,"SÍTIO JARDIM PETRÓPOLIS-QUADRA 2	- PRÓXIMO A QUADRA DA BOA VISTA, EM FRENTE A ESCOLA FENELON CÂMERA",SEM INFORMAÇÃO,1ª RISP,04ª AISP,"-35,753525","-9,609933"
37581,CRACK,GRAMA,3,TRÁFICO,,12/01/2022 12:00:00,2022,1,Jan,12,Qua,12,Tarde,Maribondo,Centro,"RUA PROJETADA, CONJ MUTIRÃO",SEM INFORMAÇÃO,2ª RISP,13ª AISP,"-36,305468","-9,577246"
37583,MACONHA,GRAMA,40,TRÁFICO,,12/01/2022 16:00:00,2022,1,Jan,12,Qua,16,Tarde,Maceió,Benedito Bentes,"RESIDENCIAL OITICICA I R. JOANA DARC,",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,744891","-9,537405"
37587,MACONHA,GRAMA,350,,,12/01/2022 16:32:00,2022,1,Jan,12,Qua,16,Tarde,Maceió,Antares,GROTA DA ESPERANÇA,,1ª RISP,06ª AISP,"-35,740187","-9,578456"
37585,COCAINA,GRAMA,90,TRÁFICO,,12/01/2022 16:32:00,2022,1,Jan,12,Qua,16,Tarde,Maceió,Antares,GROTA DA ESPERANÇA,,1ª RISP,06ª AISP,"-35,740187","-9,578456"
37589,COCAINA,GRAMA,1000,TRÁFICO,,12/01/2022 17:00:00,2022,1,Jan,12,Qua,17,Tarde,Maceió,Benedito Bentes,"CONJ. BENEDITO BENTES II-MATINHA DO SELMA BANDEIRA, QUADRA 01-APOIS A BASE COMUNITÁRIA DO SELMA BANDEIRA",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,72048","-9,573218"
37593,MACONHA,GRAMA,1600,TRÁFICO,,12/01/2022 17:00:00,2022,1,Jan,12,Qua,17,Tarde,Maceió,Benedito Bentes,"CONJ. BENEDITO BENTES II-MATINHA DO SELMA BANDEIRA, QUADRA 01-APOIS A BASE COMUNITÁRIA DO SELMA BANDEIRA",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,720448","-9,573933"
37591,CRACK,GRAMA,14600,TRÁFICO,,12/01/2022 17:00:00,2022,1,Jan,12,Qua,17,Tarde,Maceió,Benedito Bentes,"CONJ. BENEDITO BENTES II-MATINHA DO SELMA BANDEIRA, QUADRA 01-APOIS A BASE COMUNITÁRIA DO SELMA BANDEIRA",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,72048","-9,573218"
37627,MACONHA,GRAMA,6,TRÁFICO,,12/01/2022 22:00:00,2022,1,Jan,12,Qua,22,Noite,Maceió,Benedito Bentes,CIDADE SORRISO I B. BENTES II-RUA PRINCIPAL DO SORRISO I,SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,722967","-9,565587"
37623,CRACK,GRAMA,58,TRÁFICO,,12/01/2022 22:00:00,2022,1,Jan,12,Qua,22,Noite,Maceió,Benedito Bentes,CIDADE SORRISO I B. BENTES II-RUA PRINCIPAL DO SORRISO I,SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,722967","-9,565587"
37625,COCAINA,GRAMA,25,TRÁFICO,,12/01/2022 22:00:00,2022,1,Jan,12,Qua,22,Noite,Maceió,Benedito Bentes,CIDADE SORRISO I B. BENTES II-RUA PRINCIPAL DO SORRISO I,SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,722967","-9,565587"
37611,MACONHA,GRAMA,150,TRÁFICO,,13/01/2022 05:00:00,2022,1,Jan,13,Qui,5,Madrugada,Murici,Centro,"RUA LEONILDO CICINATO, 126-CAMPO GRANDE",SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-35,943301","-9,309203"
37607,COCAINA,GRAMA,25,TRÁFICO,,13/01/2022 05:00:00,2022,1,Jan,13,Qui,5,Madrugada,Murici,Centro,"RUA LEONILDO CICINATO, 126-CAMPO GRANDE",SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-35,943301","-9,309203"
37609,CRACK,GRAMA,10,TRÁFICO,,13/01/2022 05:00:00,2022,1,Jan,13,Qui,5,Madrugada,Murici,Centro,"RUA LEONILDO CICINATO, 126-CAMPO GRANDE",SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-35,943301","-9,309203"
37613,COCAINA,GRAMA,27,TRÁFICO,,13/01/2022 05:00:00,2022,1,Jan,13,Qui,5,Madrugada,Maceió,Benedito Bentes,"RUA SÃO CAITANO/BLOCO 16, AP 03-ALTO DA ALEGRIA/RESIDENCIAL BOSQUE DAS UBAIAS",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,733501","-9,561852"
37615,COCAINA,GRAMA,6,TRÁFICO,,13/01/2022 18:55:00,2022,1,Jan,13,Qui,18,Noite,Marechal Deodoro,Barra Nova,CONJ RECANTO DA ILHA - QD D,PRÓXIMO À PONTE DA MASSAGUEIRA.,1ª RISP,10ª AISP,"-35,814681","-9,711891"
37617,MACONHA,GRAMA,75,,,13/01/2022 18:55:00,2022,1,Jan,13,Qui,18,Noite,Marechal Deodoro,Barra Nova,CONJ RECANTO DA ILHA - QD D,PRÓXIMO À PONTE DA MASSAGUEIRA.,1ª RISP,10ª AISP,"-35,814681","-9,711891"
37619,COCAINA,GRAMA,50,TRÁFICO,,13/01/2022 19:00:00,2022,1,Jan,13,Qui,19,Noite,Maceió,Jacarecica,VILA EMATER-RUA A,SEM INFORMAÇÃO,1ª RISP,01ª AISP,"-35,696488","-9,618304"
37635,MACONHA,GRAMA,50,TRÁFICO,,14/01/2022 14:00:00,2022,1,Jan,14,Sex,14,Tarde,Maceió,Benedito Bentes,CONJUNTO BENEDITO BENTES I-AV CACHOEIRA DO MEIRIM-PROXI AO POSTO DE GASOLINA E AO G BARBOSA.,CONJUNTO BENEDITO BENTES I,1ª RISP,06ª AISP,"-35,730488","-9,54726"
37641,MACONHA,GRAMA,95,POSSE/USO,,14/01/2022 17:00:00,2022,1,Jan,14,Sex,17,Tarde,Pão de Açúcar,Centro,RUA ALTINHO,SEM INFORMAÇÃO,4ª RISP,25ª AISP,"-37,436359","-9,74936"
37633,COCAINA,GRAMA,5,POSSE/USO,,14/01/2022 21:00:00,2022,1,Jan,14,Sex,21,Noite,Arapiraca,Santa Edwiges,RUA OURO BRANCO (BAR VALEU BOI),SEM INFORMAÇÃO,3ª RISP,16ª AISP,"-36,653129","-9,740289"
37639,COCAINA,GRAMA,4000,TRÁFICO,,14/01/2022 21:00:00,2022,1,Jan,14,Sex,21,Noite,Maceió,Tabuleiro do Martins,"RUA SÃO LUIS,177- FEIRINHA DO TABULEIRO",SEM INFORMAÇÃO,1ª RISP,08ª AISP,"-35,771211","-9,583705"
37637,MACONHA,GRAMA,350,TRÁFICO,,14/01/2022 21:00:00,2022,1,Jan,14,Sex,21,Noite,Maceió,Tabuleiro do Martins,"RUA SÃO LUIS,177- FEIRINHA DO TABULEIRO",SEM INFORMAÇÃO,1ª RISP,08ª AISP,"-35,771211","-9,583705"
37643,MACONHA,GRAMA,50,TRÁFICO,,15/01/2022 01:00:00,2022,1,Jan,15,Sáb,1,Madrugada,Maceió,Tabuleiro do Martins,"CONJ. CLETO MARQUES LUZ,RUA ROMEU DE AVELAR - PROXIMO AO SUPERMERCADO SUPER SANTANA",ESQUINA COM O COLEGIO,1ª RISP,08ª AISP,"-35,767141","-9,569486"
37645,COCAINA,GRAMA,44,TRÁFICO,,15/01/2022 11:00:00,2022,1,Jan,15,Sáb,11,Manhã,Arapiraca,Canafístula,RUA 18- VALENTIM-APÓS O CALÇAMENTO.,SEM INFORMAÇÃO,3ª RISP,17ª AISP,"-36,63181","-9,764751"
37647,MACONHA,GRAMA,280,TRÁFICO,,15/01/2022 11:00:00,2022,1,Jan,15,Sáb,11,Manhã,Arapiraca,Canafístula,RUA 18- VALENTIM-APÓS O CALÇAMENTO.,SEM INFORMAÇÃO,3ª RISP,17ª AISP,"-36,63181","-9,764751"
37699,MACONHA,GRAMA,10,TRÁFICO,,15/01/2022 11:00:00,2022,1,Jan,15,Sáb,11,Manhã,Maceió,Tabuleiro do Martins,PRESIDIO CYRIDIÃO DURVAL,SEM INFORMAÇÃO,1ª RISP,08ª AISP,"-35,777563","-9,551443"
37649,CRACK,GRAMA,5,TRÁFICO,,15/01/2022 13:00:00,2022,1,Jan,15,Sáb,13,Tarde,Maceió,Jacintinho,R. SÃO JORGE-GROTA DO CIGANO-BECO DA FARMÁCIA,SEM INFORMAÇÃO,1ª RISP,05ª AISP,"-35,712978","-9,640321"
37653,MACONHA,GRAMA,30,TRÁFICO,,15/01/2022 19:00:00,2022,1,Jan,15,Sáb,19,Noite,Maceió,Pescaria,RUA ANA OMENA,SEM INFORMAÇÃO,1ª RISP,01ª AISP,"-35,624225","-9,538413"
37651,COCAINA,GRAMA,2,TRÁFICO,,15/01/2022 19:00:00,2022,1,Jan,15,Sáb,19,Noite,Maceió,Pescaria,RUA ANA OMENA,SEM INFORMAÇÃO,1ª RISP,01ª AISP,"-35,624225","-9,538413"
37655,CRACK,GRAMA,3,POSSE/USO,,15/01/2022 21:00:00,2022,1,Jan,15,Sáb,21,Noite,São Miguel dos Campos,Centro,RUA CORONEL JOSE SOARES-PRÓXIMO A PADARIA CAPRICHO,SEM INFORMAÇÃO,3ª RISP,20ª AISP,"-36,097584","-9,781868"
37661,COCAINA,GRAMA,32,TRÁFICO,,15/01/2022 22:00:00,2022,1,Jan,15,Sáb,22,Noite,Piranhas,Centro,RUA CHÃ DE PILAR,SEM INFORMAÇÃO,4ª RISP,24ª AISP,"-37,757863","-9,610912"
37663,CRACK,GRAMA,87,TRÁFICO,,15/01/2022 22:00:00,2022,1,Jan,15,Sáb,22,Noite,Piranhas,Centro,RUA CHÃ DE PILAR,SEM INFORMAÇÃO,4ª RISP,24ª AISP,"-37,757863","-9,610912"
37665,MACONHA,GRAMA,63,TRÁFICO,,15/01/2022 22:00:00,2022,1,Jan,15,Sáb,22,Noite,Piranhas,Centro,RUA CHÃ DE PILAR,SEM INFORMAÇÃO,4ª RISP,24ª AISP,"-37,757863","-9,610912"
37667,COCAINA,GRAMA,98,TRÁFICO,,16/01/2022 13:00:00,2022,1,Jan,16,Dom,13,Tarde,Maceió,Petrópolis,RUA GALBA NOVAIS DE CASTRO-PROXIMO AO ANTIGO MACRO,SEM INFORMAÇÃO,1ª RISP,04ª AISP,"-35,755785","-9,603297"
