ID,USO,TIPO_ARMA,MARCA,CALIBRE,FORCA,NUMERACAO_ARMA,FABRICACAO,QUALIFICACAO,RELACAO,AMBIENTE,DATA_HORA_FATO,ANO_FATO,MES_FATO,MES_FATO_TEXTO,DIA_FATO,DIA_SEMANA_FATO,HORA_FATO,TURNO,CIDADE_FATO,BAIRRO_FATO,ENDERECO_FATO,PT_REF_FATO,RISP,AISP,LONGITUDE,LATITUDE
40022,NI,ESPINGARDA,ARTESANAL,NI,PM,,NI,DESOVA,Apreendida,Via Pública,05/01/2022 12:00:00,2022,1,Jan,5,Qua,12,Tarde,Santa Luzia do Norte,Zona Rural,RODOVIA AL 401,SEM INFORMAÇÃO,1ª RISP,09ª AISP,"-35,825678","-9,587589"
40020,PERMITIDO,PISTOLA,TAURUS,380,PM,KLP24505,NACIONAL,PORTE ILEGAL,Apreendida,Outro,05/01/2022 15:00:00,2022,1,Jan,5,Qua,15,Tarde,Maceió,Rio Novo,"RUA DO ESPORTE, 232 - PRÓXIMO AO BECO DA IGREJA ADVENTISTA.",PERTO DA ASSEMBLEIA DE DEUS,1ª RISP,04ª AISP,"-35,81225","-9,573809"
40026,NI,ESPINGARDA,ARTESANAL,NI,PC,,NI,POSSE ILEGAL,Apreendida,Área Rural,05/01/2022 17:00:00,2022,1,Jan,5,Qua,17,Tarde,Mata Grande,Zona Rural,SÍTIO SÃO JOSÉ,SEM INFORMAÇÃO,4ª RISP,24ª AISP,"-37,719078","-9,126255"
40024,NI,ESPINGARDA,NI,NI,PM,,NI,DESOVA,Apreendida,,05/01/2022 18:31:00,2022,1,Jan,5,Qua,18,Noite,Porto Calvo,Zona Rural,BEIRA DO RIO DO POVOADO OSCAR CUNHA,,2ª RISP,15ª AISP,"-35,422726","-9,052155"
40023,PERMITIDO,ESPINGARDA,NI,28,PM,,NI,DESOVA,Apreendida,,05/01/2022 18:31:00,2022,1,Jan,5,Qua,18,Noite,Porto Calvo,Zona Rural,BEIRA DO RIO DO POVOADO OSCAR CUNHA,,2ª RISP,15ª AISP,"-35,422726","-9,052155"
40089,RESTRITO,PISTOLA,TAURUS,40,PM,KKS23332,NACIONAL,POSSE ILEGAL,Apreendida,Residência,07/01/2022 00:00:00,2022,1,Jan,7,Sex,0,Madrugada,Maceió,Vergel do Lago,"CONJ. VIRGEM DOS POBRES I	- RUA-B, Q-2, 59",SEM INFORMAÇÃO,1ª RISP,02ª AISP,"-35,762462","-9,654133"
40091,PERMITIDO,REVOLVER,TAURUS,38,PM,OK350827,NACIONAL,PORTE ILEGAL,Apreendida,Área Rural,07/01/2022 12:00:00,2022,1,Jan,7,Sex,12,Tarde,Passo de Camaragibe,Zona Rural,LEITO DE RIO-FAZENDA LEOCÁRDIO NOGUEIRA,SEM INFORMAÇÃO,2ª RISP,15ª AISP,"-35,497573","-9,215034"
40095,PERMITIDO,PISTOLA,TAURUS,380,PM,,NACIONAL,POSSE ILEGAL,Apreendida,Residência,07/01/2022 21:00:00,2022,1,Jan,7,Sex,21,Noite,Maceió,Benedito Bentes,CIDADE SORRISO II-	BLOCO 12 AP 103,CIDADE SORRISO 1,1ª RISP,06ª AISP,"-35,713667","-9,5695"
40097,PERMITIDO,REVOLVER,TAURUS,38,PM,994584,NACIONAL,POSSE ILEGAL,Apreendida,Residência,08/01/2022 11:00:00,2022,1,Jan,8,Sáb,11,Manhã,Arapiraca,Senador Teotônio Vilela,"RUA DELMIRO GOUVEIA-BOSQUE DAS ARAPIRACAS-EM UMA LANCHONETE, EM FRENTE A ESCOLA DE CIRCO",SEM INFORMAÇÃO,3ª RISP,17ª AISP,"-36,659175","-9,744143"
40113,PERMITIDO,ESPINGARDA,ARTESANAL,12,PM,,NI,PORTE ILEGAL,Apreendida,Via Pública,08/01/2022 20:00:00,2022,1,Jan,8,Sáb,20,Noite,Messias,Zona Rural,BR 101 NO TREVO DE MESSIAS,SEM INFORMAÇÃO,1ª RISP,09ª AISP,"-35,835247","-9,365397"
40116,PERMITIDO,REVOLVER,TAURUS,38,GM,HG58258,NACIONAL,PORTE ILEGAL,Apreendida,Outro,10/01/2022 00:00:00,2022,1,Jan,10,Seg,0,Madrugada,Teotônio Vilela,Centro,BAIRRO SÃO MIGUEL,SEM INFORMAÇÃO,3ª RISP,22ª AISP,"-36,356276","-9,910794"
40309,PERMITIDO,REVOLVER,ROSSI,38,PM,E004058,NACIONAL,PORTE ILEGAL,Apreendida,Outro,10/01/2022 00:00:00,2022,1,Jan,10,Seg,0,Madrugada,Maceió,Benedito Bentes,AV. A-PRÓXIMO À BORRACHARIA DO 'NENO'. EM FRENTE À ESCOLA ESTADUAL 'DR FRANCISCO DE MELO'.,MERCADINHO DO TIAGO,1ª RISP,06ª AISP,"-35,722192","-9,566696"
40187,PERMITIDO,ESPINGARDA,ARTESANAL,NI,PM,,NI,PORTE ILEGAL,Apreendida,Via Pública,10/01/2022 20:00:00,2022,1,Jan,10,Seg,20,Noite,Novo Lino,Zona Rural,BR 101 - NORTE,SEM INFORMAÇÃO,2ª RISP,14ª AISP,"-35,64134","-8,931692"
40188,PERMITIDO,REVOLVER,ROSSI,38,PM,,NACIONAL,PORTE ILEGAL,Apreendida,Via Pública,10/01/2022 20:00:00,2022,1,Jan,10,Seg,20,Noite,Novo Lino,Zona Rural,BR 101 - NORTE,SEM INFORMAÇÃO,2ª RISP,14ª AISP,"-35,64134","-8,931692"
40180,PERMITIDO,REVOLVER,ROSSI,38,PM,JB273461,NACIONAL,PORTE ILEGAL,Apreendida,Via Pública,11/01/2022 16:00:00,2022,1,Jan,11,Ter,16,Tarde,Maceió,Feitosa,AV GOV LAMENHA FILHO-BECO GOGÓ DA EMA	-PRÓXIMO A RODOVIÁRIA,PRÓXIMO A RODOVIÁRIA,1ª RISP,05ª AISP,"-35,727662","-9,64559"
40182,PERMITIDO,REVOLVER,TAURUS,38,PM,22532,NACIONAL,PORTE ILEGAL,Apreendida,Residência,11/01/2022 18:00:00,2022,1,Jan,11,Ter,18,Noite,Rio Largo,Mata do Rolo,CONJUNTO ANTÔNIO LINS. QUADRA 7,SEM INFORMAÇÃO,1ª RISP,09ª AISP,"-35,803062","-9,484459"
40186,PERMITIDO,REVOLVER,TAURUS,38,PM,F038151,NACIONAL,PORTE ILEGAL,Apreendida,Via Pública,11/01/2022 20:00:00,2022,1,Jan,11,Ter,20,Noite,Maceió,Benedito Bentes,"RUA DO INFERNINHO, CONJ. SELMA BANDEIRA",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,72518","-9,550426"
40183,PERMITIDO,PISTOLA,BERETTA,635,PM,G16945,NACIONAL,PORTE ILEGAL,Apreendida,Zona Urbana,11/01/2022 21:00:00,2022,1,Jan,11,Ter,21,Noite,Arapiraca,Brasília,RUA ANDRÉ LEÃO-EM FRENTE AO MERCADINHO EXPRESS.,SEM INFORMAÇÃO,3ª RISP,17ª AISP,"-36,648044","-9,753821"
40226,PERMITIDO,PISTOLA,TAURUS,380,PM,,NACIONAL,PORTE ILEGAL,Apreendida,Via Pública,12/01/2022 10:00:00,2022,1,Jan,12,Qua,10,Manhã,Maceió,Petrópolis,"SÍTIO JARDIM PETRÓPOLIS-QUADRA 2	- PRÓXIMO A QUADRA DA BOA VISTA, EM FRENTE A ESCOLA FENELON CÂMERA",SEM INFORMAÇÃO,1ª RISP,04ª AISP,"-35,753744","-9,609273"
40227,PERMITIDO,REVOLVER,TAURUS,38,PM,IG140645,NACIONAL,PORTE ILEGAL,Apreendida,Área Rural,12/01/2022 11:00:00,2022,1,Jan,12,Qua,11,Manhã,Penedo,Zona Rural,POVOADO CARAPINA,SEM INFORMAÇÃO,3ª RISP,19ª AISP,"-36,53899","-10,248109"
40230,PERMITIDO,ESPINGARDA,CBC,28,PM,339088,NACIONAL,PORTE ILEGAL,Apreendida,,12/01/2022 16:32:00,2022,1,Jan,12,Qua,16,Tarde,Maceió,Antares,GROTA DA ESPERANÇA,,1ª RISP,06ª AISP,"-35,738011","-9,578012"
40231,PERMITIDO,REVOLVER,TAURUS,38,PM,341093,NACIONAL,PORTE ILEGAL,Apreendida,,12/01/2022 22:40:00,2022,1,Jan,12,Qua,22,Noite,Maceió,Benedito Bentes,RUA PRINCIPAL DO SORRISO I,,1ª RISP,06ª AISP,"-35,725542","-9,56127"
40257,PERMITIDO,REVOLVER,NI,38,PM,338744,NI,PORTE ILEGAL,Apreendida,Residência,13/01/2022 05:00:00,2022,1,Jan,13,Qui,5,Madrugada,Murici,Centro,"RUA LEONILDO CICINATO, 126-CAMPO GRANDE",SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-35,943085","-9,308961"
40259,PERMITIDO,REVOLVER,TAURUS,32,PM,723731,NACIONAL,PORTE ILEGAL,Apreendida,,13/01/2022 12:07:00,2022,1,Jan,13,Qui,12,Tarde,Craíbas,Zona Rural,RUA PROJETADA,POR TRÁS DO PRESIDIO DO AGRESTE,3ª RISP,16ª AISP,"-36,830453","-9,678371"
40258,PERMITIDO,REVOLVER,INA,32,PM,49055,NACIONAL,PORTE ILEGAL,Apreendida,,13/01/2022 12:07:00,2022,1,Jan,13,Qui,12,Tarde,Craíbas,Zona Rural,RUA PROJETADA,POR TRÁS DO PRESIDIO DO AGRESTE,3ª RISP,16ª AISP,"-36,830453","-9,678371"
40260,RESTRITO,PISTOLA,TAURUS,765,PM,,NACIONAL,PORTE ILEGAL,Apreendida,,13/01/2022 12:07:00,2022,1,Jan,13,Qui,12,Tarde,Craíbas,Zona Rural,RUA PROJETADA,POR TRÁS DO PRESIDIO DO AGRESTE,3ª RISP,16ª AISP,"-36,830543","-9,678634"
40262,PERMITIDO,REVOLVER,NI,38,PM,,NI,PORTE ILEGAL,Apreendida,Via Pública,13/01/2022 19:00:00,2022,1,Jan,13,Qui,19,Noite,Maceió,Jacarecica,VILA EMATER-RUA A,SEM INFORMAÇÃO,1ª RISP,01ª AISP,"-35,696427","-9,618301"
40287,PERMITIDO,REVOLVER,NI,38,PM,243311,NI,PORTE ILEGAL,Apreendida,Estabelecimento Comercial,14/01/2022 10:00:00,2022,1,Jan,14,Sex,10,Manhã,Maceió,Jacintinho,"CONJ. JOSÉ DA SILVA PEIXOTO-RUA SÃO VICENTE, 264-	BAR DO SR LUIZ.",SEM INFORMAÇÃO,1ª RISP,05ª AISP,"-35,721067","-9,632812"
40288,NI,ESPINGARDA,NI,NI,PM,,NI,PORTE ILEGAL,Apreendida,Área Rural,14/01/2022 12:00:00,2022,1,Jan,14,Sex,12,Tarde,São José da Laje,Zona Rural,POVOADO ASSENTAMENTO CALDERÕES,SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-36,020299","-9,001673"
40290,PERMITIDO,ESPINGARDA,ROSSI,36,PM,PN6114,NACIONAL,POSSE ILEGAL,Apreendida,Área Rural,14/01/2022 13:00:00,2022,1,Jan,14,Sex,13,Tarde,São José da Laje,Zona Rural,SÍTIO PATOS-FAZENDA SÃO BENTO,SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-36,020299","-9,001673"
40291,PERMITIDO,ESPINGARDA,CBC,28,PM,28525,NACIONAL,POSSE ILEGAL,Apreendida,,14/01/2022 16:55:00,2022,1,Jan,14,Sex,16,Tarde,São José da Laje,Zona Rural,ASSENTAMENTO CALDERÕES,,2ª RISP,12ª AISP,"-36,066743","-9,01301"
40292,PERMITIDO,REVOLVER,TAURUS,38,PM,,NACIONAL,POSSE ILEGAL,Apreendida,Residência,14/01/2022 21:00:00,2022,1,Jan,14,Sex,21,Noite,Maceió,Tabuleiro do Martins,"RUA SÃO LUIS,177- FEIRINHA DO TABULEIRO",SEM INFORMAÇÃO,1ª RISP,08ª AISP,"-35,771223","-9,583723"
40296,PERMITIDO,REVOLVER,TAURUS,38,PM,KK529450,NACIONAL,PORTE ILEGAL,Apreendida,Via Pública,15/01/2022 01:00:00,2022,1,Jan,15,Sáb,1,Madrugada,Maceió,Tabuleiro do Martins,"CONJ. CLETO MARQUES LUZ,RUA ROMEU DE AVELAR - PROXIMO AO SUPERMERCADO SUPER SANTANA",ESQUINA COM O COLEGIO,1ª RISP,08ª AISP,"-35,768738","-9,570724"
40299,PERMITIDO,REVOLVER,TAURUS,38,PM,CA34992,NACIONAL,PORTE ILEGAL,Apreendida,Residência,15/01/2022 11:00:00,2022,1,Jan,15,Sáb,11,Manhã,Arapiraca,Canafístula,RUA 18- VALENTIM-APÓS O CALÇAMENTO.,SEM INFORMAÇÃO,3ª RISP,17ª AISP,"-36,633301","-9,766348"
40300,PERMITIDO,REVOLVER,TAURUS,38,PM,YK353295,NACIONAL,PORTE ILEGAL,Apreendida,Área Rural,15/01/2022 22:00:00,2022,1,Jan,15,Sáb,22,Noite,Marechal Deodoro,Zona Rural,ESTRADA DO JARDIM DO CAMPO-VILAREJO,SEM INFORMAÇÃO,1ª RISP,10ª AISP,"-35,912977","-9,72154"
40303,PERMITIDO,REVOLVER,TAURUS,38,PM,JB61768,NACIONAL,POSSE ILEGAL,Apreendida,Residência,16/01/2022 09:00:00,2022,1,Jan,16,Dom,9,Manhã,Maceió,Benedito Bentes,"TRAVESSA GARÇA TORTA, 34",SEM INFORMAÇÃO,1ª RISP,06ª AISP,"-35,716561","-9,544632"
40304,PERMITIDO,REVOLVER,TAURUS,32,PM,582575,NACIONAL,PORTE ILEGAL,Apreendida,,16/01/2022 11:21:00,2022,1,Jan,16,Dom,11,Manhã,Arapiraca,Zona Rural Leste,PRINCIPAL DA INGAZEIRA,,3ª RISP,17ª AISP,"-36,712242","-9,721108"
40306,RESTRITO,PISTOLA,TAURUS,40,PM,SJY71658,NACIONAL,PORTE ILEGAL,Apreendida,Via Pública,16/01/2022 13:00:00,2022,1,Jan,16,Dom,13,Tarde,Maceió,Petrópolis,AV. GALBA NOVAIS DE CASTRO-PROXIMO AO ANTIGO MACRO,SEM INFORMAÇÃO,1ª RISP,04ª AISP,"-35,756278","-9,599008"
40307,RESTRITO,PISTOLA,TAURUS,9,PM,ACG023023,NACIONAL,PORTE ILEGAL,Apreendida,Via Pública,16/01/2022 13:00:00,2022,1,Jan,16,Dom,13,Tarde,Maceió,Petrópolis,AV. GALBA NOVAIS DE CASTRO-PROXIMO AO ANTIGO MACRO,SEM INFORMAÇÃO,1ª RISP,04ª AISP,"-35,756278","-9,599008"
40308,PERMITIDO,REVOLVER,TAURUS,38,PM,6093633,NACIONAL,PORTE ILEGAL,Apreendida,Outro,16/01/2022 17:00:00,2022,1,Jan,16,Dom,17,Tarde,Girau do Ponciano,Centro,RUA PROJETADA-VALENTIM,SEM INFORMAÇÃO,3ª RISP,21ª AISP,"-36,843875","-9,878106"
40354,PERMITIDO,REVOLVER,TAURUS,38,PM,1410300,NACIONAL,POSSE ILEGAL,Apreendida,Residência,17/01/2022 01:00:00,2022,1,Jan,17,Seg,1,Madrugada,Girau do Ponciano,Centro,NOSSA SRA DA CONCEIÇÃO - RUA JOSÉ PEREIRA BEZERRA,SEM INFORMAÇÃO,3ª RISP,21ª AISP,"-36,826006","-9,881948"
40356,PERMITIDO,REVOLVER,NI,38,PM,KL546778,NI,PORTE ILEGAL,Apreendida,Área Rural,17/01/2022 05:00:00,2022,1,Jan,17,Seg,5,Madrugada,Cajueiro,Zona Rural,POVOADO LUANGO,SEM INFORMAÇÃO,2ª RISP,13ª AISP,"-36,141024","-9,400808"
40359,PERMITIDO,REVOLVER,TAURUS,38,PM,OC233181,NACIONAL,POSSE ILEGAL,Apreendida,Residência,17/01/2022 12:00:00,2022,1,Jan,17,Seg,12,Tarde,Maceió,Cidade Universitária,"CONJ. EUSTÁQUIO GOMES-CJ MACEIÓ I-BLOCO A, 810",SEM INFORMAÇÃO,1ª RISP,07ª AISP,"-35,786233","-9,540419"
40360,PERMITIDO,REVOLVER,TAURUS,38,PM,1101364,NACIONAL,PORTE ILEGAL,Apreendida,Via Pública,17/01/2022 18:00:00,2022,1,Jan,17,Seg,18,Noite,Delmiro Gouveia,Zona Rural,CHÁCARA SÃO VICENTE - VILA 25-PROXIMO A VILA VITORIA,PRÓXIMO A VILA VITÓRIA,4ª RISP,24ª AISP,"-37,979581","-9,353332"
40355,PERMITIDO,REVOLVER,NI,32,PM,291,NI,PORTE ILEGAL,Apreendida,Via Pública,17/01/2022 19:00:00,2022,1,Jan,17,Seg,19,Noite,Arapiraca,Primavera,RUA BOA VISTA,UFAL,3ª RISP,16ª AISP,"-36,688585","-9,701625"
40598,RESTRITO,PISTOLA,NI,765,PC,,NI,POSSE ILEGAL,Apreendida,Residência,18/01/2022 01:00:00,2022,1,Jan,18,Ter,1,Madrugada,Delmiro Gouveia,Centro,CONJUNTO HABITACIONAL SONIA COCO,RESIDENCIA DE DAYANE,4ª RISP,24ª AISP,"-37,999929","-9,383063"
40384,PERMITIDO,ESPINGARDA,NI,20,PM,,NI,POSSE ILEGAL,Apreendida,Área Rural,18/01/2022 16:00:00,2022,1,Jan,18,Ter,16,Tarde,União dos Palmares,Zona Rural,"ASSENTAMENTO PAULO FREIRE VI-COORDENADAS: S9°7''5"", W35°52''56""",SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-36,031696","-9,128154"
40383,PERMITIDO,REVOLVER,ROSSI,22,PM,A918629,NACIONAL,PORTE ILEGAL,Apreendida,Estabelecimento Comercial,18/01/2022 19:00:00,2022,1,Jan,18,Ter,19,Noite,Arapiraca,Caititus,RUA JOSÉ ANTÔNIO DE ALBUQUERQUE-LANCHONETE DE ESQUINA EM FRENTE AO MERCADO JF,LANCHONETE BIG BURGUER,3ª RISP,17ª AISP,"-36,655904","-9,740368"
40388,NI,ESPINGARDA,ARTESANAL,NI,PM,,NI,DESOVA,Apreendida,,18/01/2022 19:57:00,2022,1,Jan,18,Ter,19,Noite,União dos Palmares,Zona Rural,ASSENTAMENTO PAULO FREIRE VI,"COORDENADAS: S9°7''5"", W35°52''56""",2ª RISP,12ª AISP,"-36,031696","-9,128154"
40387,NI,ESPINGARDA,ARTESANAL,NI,PM,,NI,DESOVA,Apreendida,,18/01/2022 19:57:00,2022,1,Jan,18,Ter,19,Noite,União dos Palmares,Zona Rural,ASSENTAMENTO PAULO FREIRE VI,"COORDENADAS: S9°7''5"", W35°52''56""",2ª RISP,12ª AISP,"-36,031696","-9,128154"
40389,NI,ESPINGARDA,ARTESANAL,NI,PM,,NI,DESOVA,Apreendida,,18/01/2022 19:57:00,2022,1,Jan,18,Ter,19,Noite,União dos Palmares,Zona Rural,ASSENTAMENTO PAULO FREIRE VI,"COORDENADAS: S9°7''5"", W35°52''56""",2ª RISP,12ª AISP,"-36,031696","-9,128154"
40385,PERMITIDO,ESPINGARDA,NI,28,PM,,NI,POSSE ILEGAL,Apreendida,,18/01/2022 22:00:00,2022,1,Jan,18,Ter,22,Noite,União dos Palmares,Zona Rural,ASSENTAMENTO PAULO FREIRE VI,"COORDENADAS: S9°7''5"", W35°52''56""",2ª RISP,12ª AISP,"-36,031696","-9,128154"
40386,PERMITIDO,ESPINGARDA,NI,36,PM,,NI,POSSE ILEGAL,Apreendida,,18/01/2022 22:00:00,2022,1,Jan,18,Ter,22,Noite,União dos Palmares,Zona Rural,ASSENTAMENTO PAULO FREIRE VI,"COORDENADAS: S9°7''5"", W35°52''56""",2ª RISP,12ª AISP,"-36,031696","-9,128154"
40452,NI,ESPINGARDA,NI,NI,PM,,NI,PORTE ILEGAL,Apreendida,Via Pública,19/01/2022 10:00:00,2022,1,Jan,19,Qua,10,Manhã,Maragogi,Centro,CONJUNTO DEDA PAES (RISCA FACA),POR TRÁS DO FÓRUM,2ª RISP,15ª AISP,"-35,218373","-9,003893"
40454,PERMITIDO,REVOLVER,TAURUS,38,PM,275475,NACIONAL,POSSE ILEGAL,Apreendida,Residência,19/01/2022 23:00:00,2022,1,Jan,19,Qua,23,Noite,São Miguel dos Campos,Centro,CANTO DA SAUDADE-LOTEAMENTO JUCA CALAZANS II,SEM INFORMAÇÃO,3ª RISP,20ª AISP,"-36,101263","-9,780601"
40460,PERMITIDO,ESPINGARDA,ARTESANAL,36,PM,,NI,PORTE ILEGAL,Apreendida,Instituição Pública,20/01/2022 16:00:00,2022,1,Jan,20,Qui,16,Tarde,Canapi,Centro,AVENIDA JOAQUIM TETÊ,SEM INFORMAÇÃO,4ª RISP,24ª AISP,"-37,602756","-9,117849"
40461,PERMITIDO,ESPINGARDA,NI,NI,PM,,NI,DESOVA,Apreendida,Via Pública,20/01/2022 21:00:00,2022,1,Jan,20,Qui,21,Noite,Barra de Santo Antônio,Zona Rural,ROD AL 101-PRÓXIMO A FAZENDA SANTA ROSA 1,SEM INFORMAÇÃO,1ª RISP,11ª AISP,"-35,520821","-9,413511"
40481,PERMITIDO,REVOLVER,ROSSI,38,PM,J187924,NACIONAL,POSSE ILEGAL,Apreendida,Residência,21/01/2022 00:00:00,2022,1,Jan,21,Sex,0,Madrugada,Maceió,São Jorge,"TRAVESSA SANTO ANTONIO, 60",SEM INFORMAÇÃO,1ª RISP,05ª AISP,"-35,71179","-9,621753"
40484,PERMITIDO,REVOLVER,TAURUS,38,PM,,NACIONAL,PORTE ILEGAL,Apreendida,Residência,21/01/2022 10:00:00,2022,1,Jan,21,Sex,10,Manhã,Murici,Centro,RUA GASTÃO TENÓRIO-EM FRENTE AO NÚMERO 20,SEM INFORMAÇÃO,2ª RISP,12ª AISP,"-35,94958","-9,312188"
40489,NI,ESPINGARDA,ARTESANAL,NI,GM,,NI,POSSE ILEGAL,Apreendida,Via Pública,21/01/2022 15:00:00,2022,1,Jan,21,Sex,15,Tarde,Teotônio Vilela,Centro,BAIRRO GERAIS- PROX A UBS,UBS,3ª RISP,22ª AISP,"-36,373213","-9,890578"
40486,RESTRITO,REVOLVER,ROSSI,357,PM,F072017,NACIONAL,PORTE ILEGAL,Apreendida,,21/01/2022 16:57:00,2022,1,Jan,21,Sex,16,Tarde,Maceió,Benedito Bentes,PRÓXIMO AO BLOCO 43,,1ª RISP,06ª AISP,"-35,703404","-9,569524"
40488,PERMITIDO,ESPINGARDA,NI,20,PM,,NI,POSSE ILEGAL,Apreendida,Área Rural,21/01/2022 17:00:00,2022,1,Jan,21,Sex,17,Tarde,São Miguel dos Campos,Zona Rural,FAZENDA TIBIRIÇA,BALNEÁRIO,3ª RISP,20ª AISP,"-36,137565","-9,763044"
40487,PERMITIDO,REVOLVER,TAURUS,32,PM,232974,NACIONAL,PORTE ILEGAL,Apreendida,,21/01/2022 18:25:00,2022,1,Jan,21,Sex,18,Noite,Olho d Água das Flores,Centro,RUA PREFEITO JOÃO MARQUES,,4ª RISP,25ª AISP,"-37,292874","-9,538171"
40490,PERMITIDO,REVOLVER,TAURUS,32,PM,221,NACIONAL,PORTE ILEGAL,Apreendida,,21/01/2022 22:38:00,2022,1,Jan,21,Sex,22,Noite,Santana do Ipanema,Zona Rural,POVOADO ÓLEO,,4ª RISP,23ª AISP,"-37,159043","-9,312374"
40494,PERMITIDO,PISTOLA,TAURUS,380,PM,KKP13621,NACIONAL,PORTE ILEGAL,Apreendida,Outro,22/01/2022 01:00:00,2022,1,Jan,22,Sáb,1,Madrugada,Maceió,Antares,AVENIDA MENINO MARCELO- PRX BOMPREÇO,BOMPREÇO,1ª RISP,06ª AISP,"-35,740556","-9,572275"
40493,PERMITIDO,REVOLVER,BERETTA,635,PM,E81667,NACIONAL,POSSE ILEGAL,Apreendida,Zona Urbana,22/01/2022 02:00:00,2022,1,Jan,22,Sáb,2,Madrugada,Arapiraca,Manoel Teles,RUA PORTO CALVO-PROX QUADRA DE ESPORTE,PROXIMO A QUADRA DE ESPORTE,3ª RISP,16ª AISP,"-36,670586","-9,757428"
40495,NI,ESPINGARDA,NI,NI,PM,,NI,POSSE ILEGAL,Apreendida,Residência,22/01/2022 15:00:00,2022,1,Jan,22,Sáb,15,Tarde,Pão de Açúcar,Centro,"RUA JOSUÉ DUARTE, 202-BAIRRO COHAB",SEM INFORMAÇÃO,4ª RISP,25ª AISP,"-37,448959","-9,748294"
